date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:29:04	9655/9655	---MCZ	200	added ('OK')	text/html	etag:W/%225e7b6779-25b7%22	http://demo.themefisher.com/vixcon/contact.html	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/contact.html	(from http://demo.themefisher.com/vixcon/)
23:29:17	78658/78658	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-13342%22	http://demo.themefisher.com/vixcon/images/about/h1-gallery-img-7.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/h1-gallery-img-7.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:19	88654/88654	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-15a4e%22	http://demo.themefisher.com/vixcon/images/about/main-home-img-1.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/main-home-img-1.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:21	10707/10707	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-29d3%22	http://demo.themefisher.com/vixcon/images/about/big-data.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/big-data.png	(from http://demo.themefisher.com/vixcon/)
23:29:25	152432/152432	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-25370%22	http://demo.themefisher.com/vixcon/images/banner/banner-2.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/banner/banner-2.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:29	74834/74834	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-12452%22	http://demo.themefisher.com/vixcon/images/about/wordpress.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/wordpress.png	(from http://demo.themefisher.com/vixcon/)
23:29:32	171132/171132	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-29c7c%22	http://demo.themefisher.com/vixcon/images/banner/rev-slider-09.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/banner/rev-slider-09.png	(from http://demo.themefisher.com/vixcon/)
23:29:33	10653/10653	---MCZ	200	added ('OK')	text/html	etag:W/%225e7b6779-299d%22	http://demo.themefisher.com/vixcon/speaker-single.html	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/speaker-single.html	(from http://demo.themefisher.com/vixcon/)
23:29:33	76349/76349	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-12a3d%22	http://demo.themefisher.com/vixcon/images/about/lunch.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/lunch.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:35	64617/64617	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-fc69%22	http://demo.themefisher.com/vixcon/images/about/creativity.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/about/creativity.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:41	45329/45329	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-b111%22	http://demo.themefisher.com/vixcon/images/teams/s-3.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/teams/s-3.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:41	51918/51918	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-cace%22	http://demo.themefisher.com/vixcon/images/teams/s-2.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/teams/s-2.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:41	79097/79097	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-134f9%22	http://demo.themefisher.com/vixcon/images/teams/s-1.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/teams/s-1.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:42	2176/2176	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-880%22	http://demo.themefisher.com/vixcon/images/clients/client-img-1.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/client-img-1.png	(from http://demo.themefisher.com/vixcon/)
23:29:42	44201/44201	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-aca9%22	http://demo.themefisher.com/vixcon/images/teams/s-4.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/teams/s-4.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:43	2324/2324	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-914%22	http://demo.themefisher.com/vixcon/images/clients/client-img-2.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/client-img-2.png	(from http://demo.themefisher.com/vixcon/)
23:29:43	2016/2016	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-7e0%22	http://demo.themefisher.com/vixcon/images/clients/client-img-3.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/client-img-3.png	(from http://demo.themefisher.com/vixcon/)
23:29:43	1586/1586	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-632%22	http://demo.themefisher.com/vixcon/images/clients/client-img-4.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/client-img-4.png	(from http://demo.themefisher.com/vixcon/)
23:29:43	1381/1381	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-565%22	http://demo.themefisher.com/vixcon/images/clients/client-img-5.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/client-img-5.png	(from http://demo.themefisher.com/vixcon/)
23:29:44	1845/1845	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-735%22	http://demo.themefisher.com/vixcon/images/clients/client-img-6.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/client-img-6.png	(from http://demo.themefisher.com/vixcon/)
23:29:44	2680/2680	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-a78%22	http://demo.themefisher.com/vixcon/images/clients/client-img-7.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/client-img-7.png	(from http://demo.themefisher.com/vixcon/)
23:29:44	3335/3335	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-d07%22	http://demo.themefisher.com/vixcon/images/clients/client-img-8.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/client-img-8.png	(from http://demo.themefisher.com/vixcon/)
23:29:44	2002/2002	---M--	200	added ('OK')	image/png	etag:%225e4a67f4-7d2%22	http://demo.themefisher.com/vixcon/images/clients/client-img-9.png	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/clients/client-img-9.png	(from http://demo.themefisher.com/vixcon/)
23:29:48	50937/50937	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-c6f9%22	http://demo.themefisher.com/vixcon/images/teams/s-5.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/teams/s-5.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:49	49948/49948	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-c31c%22	http://demo.themefisher.com/vixcon/images/teams/s-6.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/teams/s-6.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:59	91485/91485	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-1655d%22	http://demo.themefisher.com/vixcon/images/bg/cta-bg.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/bg/cta-bg.jpg	(from http://demo.themefisher.com/vixcon/)
23:29:59	89929/89929	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-15f49%22	http://demo.themefisher.com/vixcon/images/blog/blog-img-1.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/blog/blog-img-1.jpg	(from http://demo.themefisher.com/vixcon/)
23:30:01	81246/81246	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-13d5e%22	http://demo.themefisher.com/vixcon/images/blog/blog-img-2.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/blog/blog-img-2.jpg	(from http://demo.themefisher.com/vixcon/)
23:30:01	78658/78658	---M--	200	added ('OK')	image/jpeg	etag:%225e4a67f4-13342%22	http://demo.themefisher.com/vixcon/images/blog/blog-img-3.jpg	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/images/blog/blog-img-3.jpg	(from http://demo.themefisher.com/vixcon/)
23:30:02	5599/5599	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e4a67f4-15df%22	http://demo.themefisher.com/vixcon/plugins/SyoTimer/jquery.syotimer.min.js	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/SyoTimer/jquery.syotimer.min.js	(from http://demo.themefisher.com/vixcon/)
23:30:02	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e4a67f4-e2d8%22	http://demo.themefisher.com/vixcon/plugins/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/bootstrap/js/bootstrap.min.js	(from http://demo.themefisher.com/vixcon/)
23:30:03	8044/8044	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e4a67f4-1f6c%22	http://demo.themefisher.com/vixcon/plugins/easing/waypoint.js	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/easing/waypoint.js	(from http://demo.themefisher.com/vixcon/)
23:30:03	104797/104797	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e4a67f4-1995d%22	http://demo.themefisher.com/vixcon/plugins/jquery/jquery.js	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/jquery/jquery.js	(from http://demo.themefisher.com/vixcon/)
23:30:03	21068/21068	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-524c%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.11.1/jquery.validate.min.js	C:/My%20Web%20Sites/Vinnovate/cdnjs.cloudflare.com/ajax/libs/jquery-validate/1.11.1/jquery.validate.min.js	(from http://demo.themefisher.com/vixcon/)
23:30:03	41095/41095	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec2-a087%22	http://cdnjs.cloudflare.com/ajax/libs/jquery.form/3.32/jquery.form.js	C:/My%20Web%20Sites/Vinnovate/cdnjs.cloudflare.com/ajax/libs/jquery.form/3.32/jquery.form.js	(from http://demo.themefisher.com/vixcon/)
23:30:04	9370/9370	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e4a67f4-249a%22	http://demo.themefisher.com/vixcon/plugins/easing/easing.js	C:/My%20Web%20Sites/Vinnovate/demo.themefisher.com/vixcon/plugins/easing/easing.js	(from http://demo.themefisher.com/vixcon/)
